"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Citrobacter","bl","CAZ",2,0,0,"Ceftazidime","bl"
"2","Citrobacter","bl","CIP",2,0,0,"Ciprofloxacin","bl"
"3","Citrobacter","bl","CRO",2,0,0,"Ceftriaxone","bl"
"4","Citrobacter","bl","GEN",1,0,0,"Gentamicin","bl"
"5","Citrobacter","bl","MEM",2,0,0,"Meropenem","bl"
"6","Citrobacter","ur","CAZ",4,0,0,"Ceftazidime","ur"
"7","Citrobacter","ur","CIP",4,0,0,"Ciprofloxacin","ur"
"8","Citrobacter","ur","CRO",4,2,0.5,"Ceftriaxone","ur"
"9","Citrobacter","ur","GEN",2,0,0,"Gentamicin","ur"
"10","Citrobacter","ur","MEM",4,0,0,"Meropenem","ur"
