"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterobacter","bl","CAZ",2,2,1,"Ceftazidime","bl"
"2","Enterobacter","bl","CIP",2,2,1,"Ciprofloxacin","bl"
"3","Enterobacter","bl","CRO",2,2,1,"Ceftriaxone","bl"
"4","Enterobacter","bl","GEN",1,1,1,"Gentamicin","bl"
"5","Enterobacter","bl","MEM",2,0,0,"Meropenem","bl"
"6","Enterobacter","ur","AMP",2,2,1,"Ampicillin","ur"
"7","Enterobacter","ur","CAZ",16,4,0.25,"Ceftazidime","ur"
"8","Enterobacter","ur","CIP",6,0,0,"Ciprofloxacin","ur"
"9","Enterobacter","ur","CRO",24,12,0.5,"Ceftriaxone","ur"
"10","Enterobacter","ur","CTX",10,6,0.6,"Cefotaxime","ur"
"11","Enterobacter","ur","GEN",12,7,0.583333333333333,"Gentamicin","ur"
"12","Enterobacter","ur","IPM",14,2,0.142857142857143,"Imipenem","ur"
"13","Enterobacter","ur","MEM",8,0,0,"Meropenem","ur"
"14","Enterobacter","ur","SXT",2,2,1,"Trimethoprim/sulfamethoxazole","ur"
