"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Enterobacter","bl","Aminoglycosides",1,1,1,"Aminoglycosides","bl"
"2","Enterobacter","bl","Carbapenems",1,0,0,"Carbapenems","bl"
"3","Enterobacter","bl","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","bl"
"4","Enterobacter","bl","Quinolones",1,1,1,"Quinolones","bl"
"5","Enterobacter","ur","Aminoglycosides",12,7,0.583333333333333,"Aminoglycosides","ur"
"6","Enterobacter","ur","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","ur"
"7","Enterobacter","ur","Carbapenems",11,1,0.0909090909090909,"Carbapenems","ur"
"8","Enterobacter","ur","Cephalosporins (3rd gen.)",12,6,0.5,"Cephalosporins (3rd gen.)","ur"
"9","Enterobacter","ur","Quinolones",3,0,0,"Quinolones","ur"
"10","Enterobacter","ur","Trimethoprims",2,2,1,"Trimethoprims","ur"
