"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterobacter","f","AMP",2,2,1,"Ampicillin","f"
"2","Enterobacter","f","CAZ",16,4,0.25,"Ceftazidime","f"
"3","Enterobacter","f","CIP",6,2,0.333333333333333,"Ciprofloxacin","f"
"4","Enterobacter","f","CRO",16,6,0.375,"Ceftriaxone","f"
"5","Enterobacter","f","GEN",7,3,0.428571428571429,"Gentamicin","f"
"6","Enterobacter","f","IPM",6,0,0,"Imipenem","f"
"7","Enterobacter","f","MEM",8,0,0,"Meropenem","f"
"8","Enterobacter","f","SXT",1,1,1,"Trimethoprim/sulfamethoxazole","f"
"9","Enterobacter","m","CAZ",8,2,0.25,"Ceftazidime","m"
"10","Enterobacter","m","CIP",2,0,0,"Ciprofloxacin","m"
"11","Enterobacter","m","CRO",20,8,0.4,"Ceftriaxone","m"
"12","Enterobacter","m","CTX",14,6,0.428571428571429,"Cefotaxime","m"
"13","Enterobacter","m","GEN",9,5,0.555555555555556,"Gentamicin","m"
"14","Enterobacter","m","IPM",18,2,0.111111111111111,"Imipenem","m"
"15","Enterobacter","m","MEM",2,0,0,"Meropenem","m"
"16","Enterobacter","m","SXT",3,1,0.333333333333333,"Trimethoprim/sulfamethoxazole","m"
