"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","bl","AMP",4,2,0.5,"Ampicillin","bl"
"2","Escherichia coli","bl","CAZ",18,10,0.555555555555556,"Ceftazidime","bl"
"3","Escherichia coli","bl","CIP",6,2,0.333333333333333,"Ciprofloxacin","bl"
"4","Escherichia coli","bl","CRO",20,16,0.8,"Ceftriaxone","bl"
"5","Escherichia coli","bl","CTX",2,2,1,"Cefotaxime","bl"
"6","Escherichia coli","bl","GEN",10,3,0.3,"Gentamicin","bl"
"7","Escherichia coli","bl","IPM",10,2,0.2,"Imipenem","bl"
"8","Escherichia coli","bl","MEM",8,0,0,"Meropenem","bl"
"9","Escherichia coli","bl","SXT",6,5,0.833333333333333,"Trimethoprim/sulfamethoxazole","bl"
"10","Escherichia coli","ur","AMP",36,28,0.777777777777778,"Ampicillin","ur"
"11","Escherichia coli","ur","CAZ",286,100,0.34965034965035,"Ceftazidime","ur"
"12","Escherichia coli","ur","CIP",144,60,0.416666666666667,"Ciprofloxacin","ur"
"13","Escherichia coli","ur","CRO",368,140,0.380434782608696,"Ceftriaxone","ur"
"14","Escherichia coli","ur","CTX",96,34,0.354166666666667,"Cefotaxime","ur"
"15","Escherichia coli","ur","GEN",169,53,0.313609467455621,"Gentamicin","ur"
"16","Escherichia coli","ur","IPM",122,6,0.0491803278688525,"Imipenem","ur"
"17","Escherichia coli","ur","MEM",220,0,0,"Meropenem","ur"
"18","Escherichia coli","ur","SXT",60,47,0.783333333333333,"Trimethoprim/sulfamethoxazole","ur"
