"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","<1","CAZ",12,8,0.666666666666667,"Ceftazidime","<1"
"2","Klebsiella pneumoniae","<1","CIP",2,0,0,"Ciprofloxacin","<1"
"3","Klebsiella pneumoniae","<1","CRO",18,14,0.777777777777778,"Ceftriaxone","<1"
"4","Klebsiella pneumoniae","<1","CTX",8,6,0.75,"Cefotaxime","<1"
"5","Klebsiella pneumoniae","<1","GEN",9,6,0.666666666666667,"Gentamicin","<1"
"6","Klebsiella pneumoniae","<1","IPM",10,0,0,"Imipenem","<1"
"7","Klebsiella pneumoniae","<1","MEM",4,0,0,"Meropenem","<1"
"8","Klebsiella pneumoniae","<1","SXT",5,5,1,"Trimethoprim/sulfamethoxazole","<1"
"9","Klebsiella pneumoniae","1-4","CAZ",44,18,0.409090909090909,"Ceftazidime","1-4"
"10","Klebsiella pneumoniae","1-4","CIP",18,8,0.444444444444444,"Ciprofloxacin","1-4"
"11","Klebsiella pneumoniae","1-4","CRO",58,28,0.482758620689655,"Ceftriaxone","1-4"
"12","Klebsiella pneumoniae","1-4","CTX",12,10,0.833333333333333,"Cefotaxime","1-4"
"13","Klebsiella pneumoniae","1-4","GEN",28,13,0.464285714285714,"Gentamicin","1-4"
"14","Klebsiella pneumoniae","1-4","IPM",14,0,0,"Imipenem","1-4"
"15","Klebsiella pneumoniae","1-4","MEM",44,0,0,"Meropenem","1-4"
"16","Klebsiella pneumoniae","1-4","SXT",11,9,0.818181818181818,"Trimethoprim/sulfamethoxazole","1-4"
"17","Klebsiella pneumoniae","5-19","CAZ",10,10,1,"Ceftazidime","5-19"
"18","Klebsiella pneumoniae","5-19","CIP",6,6,1,"Ciprofloxacin","5-19"
"19","Klebsiella pneumoniae","5-19","CRO",12,12,1,"Ceftriaxone","5-19"
"20","Klebsiella pneumoniae","5-19","CTX",4,4,1,"Cefotaxime","5-19"
"21","Klebsiella pneumoniae","5-19","GEN",6,2,0.333333333333333,"Gentamicin","5-19"
"22","Klebsiella pneumoniae","5-19","IPM",6,0,0,"Imipenem","5-19"
"23","Klebsiella pneumoniae","5-19","MEM",6,0,0,"Meropenem","5-19"
"24","Klebsiella pneumoniae","5-19","SXT",3,2,0.666666666666667,"Trimethoprim/sulfamethoxazole","5-19"
"25","Klebsiella pneumoniae","20-49","CAZ",24,12,0.5,"Ceftazidime","20-49"
"26","Klebsiella pneumoniae","20-49","CIP",12,4,0.333333333333333,"Ciprofloxacin","20-49"
"27","Klebsiella pneumoniae","20-49","CRO",28,16,0.571428571428571,"Ceftriaxone","20-49"
"28","Klebsiella pneumoniae","20-49","CTX",4,4,1,"Cefotaxime","20-49"
"29","Klebsiella pneumoniae","20-49","GEN",12,5,0.416666666666667,"Gentamicin","20-49"
"30","Klebsiella pneumoniae","20-49","IPM",4,0,0,"Imipenem","20-49"
"31","Klebsiella pneumoniae","20-49","MEM",22,0,0,"Meropenem","20-49"
"32","Klebsiella pneumoniae","20-49","SXT",2,1,0.5,"Trimethoprim/sulfamethoxazole","20-49"
"33","Klebsiella pneumoniae","50-64","CAZ",2,2,1,"Ceftazidime","50-64"
"34","Klebsiella pneumoniae","50-64","CRO",2,2,1,"Ceftriaxone","50-64"
"35","Klebsiella pneumoniae","50-64","GEN",1,1,1,"Gentamicin","50-64"
"36","Klebsiella pneumoniae","65+","CAZ",20,12,0.6,"Ceftazidime","65+"
"37","Klebsiella pneumoniae","65+","CIP",6,4,0.666666666666667,"Ciprofloxacin","65+"
"38","Klebsiella pneumoniae","65+","CRO",24,18,0.75,"Ceftriaxone","65+"
"39","Klebsiella pneumoniae","65+","CTX",6,4,0.666666666666667,"Cefotaxime","65+"
"40","Klebsiella pneumoniae","65+","GEN",12,9,0.75,"Gentamicin","65+"
"41","Klebsiella pneumoniae","65+","IPM",12,0,0,"Imipenem","65+"
"42","Klebsiella pneumoniae","65+","MEM",12,2,0.166666666666667,"Meropenem","65+"
"43","Klebsiella pneumoniae","65+","SXT",4,3,0.75,"Trimethoprim/sulfamethoxazole","65+"
"44","Klebsiella pneumoniae",NA,"CAZ",2,2,1,"Ceftazidime",NA
"45","Klebsiella pneumoniae",NA,"CRO",2,2,1,"Ceftriaxone",NA
"46","Klebsiella pneumoniae",NA,"GEN",1,1,1,"Gentamicin",NA
"47","Klebsiella pneumoniae",NA,"IPM",2,0,0,"Imipenem",NA
