"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Morganella","1-4","CAZ",14,4,0.285714285714286,"Ceftazidime","1-4"
"2","Morganella","1-4","CIP",6,6,1,"Ciprofloxacin","1-4"
"3","Morganella","1-4","CRO",14,2,0.142857142857143,"Ceftriaxone","1-4"
"4","Morganella","1-4","CTX",2,2,1,"Cefotaxime","1-4"
"5","Morganella","1-4","GEN",6,0,0,"Gentamicin","1-4"
"6","Morganella","1-4","MEM",12,0,0,"Meropenem","1-4"
"7","Morganella","1-4","SXT",2,2,1,"Trimethoprim/sulfamethoxazole","1-4"
"8","Morganella","65+","CAZ",4,2,0.5,"Ceftazidime","65+"
"9","Morganella","65+","CRO",4,2,0.5,"Ceftriaxone","65+"
"10","Morganella","65+","GEN",2,1,0.5,"Gentamicin","65+"
"11","Morganella","65+","MEM",4,0,0,"Meropenem","65+"
