"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Proteus","<1","CAZ",2,0,0,"Ceftazidime","<1"
"2","Proteus","<1","CIP",2,0,0,"Ciprofloxacin","<1"
"3","Proteus","<1","CRO",2,0,0,"Ceftriaxone","<1"
"4","Proteus","<1","GEN",1,0,0,"Gentamicin","<1"
"5","Proteus","<1","MEM",2,0,0,"Meropenem","<1"
"6","Proteus","1-4","AMP",2,2,1,"Ampicillin","1-4"
"7","Proteus","1-4","CAZ",26,2,0.0769230769230769,"Ceftazidime","1-4"
"8","Proteus","1-4","CIP",16,2,0.125,"Ciprofloxacin","1-4"
"9","Proteus","1-4","CRO",28,2,0.0714285714285714,"Ceftriaxone","1-4"
"10","Proteus","1-4","CTX",2,0,0,"Cefotaxime","1-4"
"11","Proteus","1-4","GEN",14,0,0,"Gentamicin","1-4"
"12","Proteus","1-4","IPM",2,0,0,"Imipenem","1-4"
"13","Proteus","1-4","MEM",28,0,0,"Meropenem","1-4"
"14","Proteus","1-4","SXT",4,2,0.5,"Trimethoprim/sulfamethoxazole","1-4"
"15","Proteus","5-19","CAZ",4,0,0,"Ceftazidime","5-19"
"16","Proteus","5-19","CIP",4,0,0,"Ciprofloxacin","5-19"
"17","Proteus","5-19","CRO",4,0,0,"Ceftriaxone","5-19"
"18","Proteus","5-19","GEN",2,0,0,"Gentamicin","5-19"
"19","Proteus","5-19","IPM",2,0,0,"Imipenem","5-19"
"20","Proteus","5-19","MEM",2,0,0,"Meropenem","5-19"
"21","Proteus","5-19","SXT",1,0,0,"Trimethoprim/sulfamethoxazole","5-19"
"22","Proteus","20-49","CAZ",2,0,0,"Ceftazidime","20-49"
"23","Proteus","20-49","CRO",2,2,1,"Ceftriaxone","20-49"
"24","Proteus","20-49","GEN",1,0,0,"Gentamicin","20-49"
"25","Proteus","20-49","MEM",2,0,0,"Meropenem","20-49"
"26","Proteus","50-64","CAZ",2,2,1,"Ceftazidime","50-64"
"27","Proteus","50-64","CIP",2,0,0,"Ciprofloxacin","50-64"
"28","Proteus","50-64","CRO",2,0,0,"Ceftriaxone","50-64"
"29","Proteus","50-64","GEN",1,0,0,"Gentamicin","50-64"
"30","Proteus","50-64","MEM",2,0,0,"Meropenem","50-64"
"31","Proteus","65+","CAZ",4,0,0,"Ceftazidime","65+"
"32","Proteus","65+","CIP",2,2,1,"Ciprofloxacin","65+"
"33","Proteus","65+","CRO",2,0,0,"Ceftriaxone","65+"
"34","Proteus","65+","GEN",2,1,0.5,"Gentamicin","65+"
"35","Proteus","65+","MEM",4,0,0,"Meropenem","65+"
