"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Proteus","<1","Aminoglycosides",1,0,0,"Aminoglycosides","<1"
"2","Proteus","<1","Carbapenems",1,0,0,"Carbapenems","<1"
"3","Proteus","<1","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","<1"
"4","Proteus","<1","Quinolones",1,0,0,"Quinolones","<1"
"5","Proteus","1-4","Aminoglycosides",13,0,0,"Aminoglycosides","1-4"
"6","Proteus","1-4","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","1-4"
"7","Proteus","1-4","Carbapenems",14,0,0,"Carbapenems","1-4"
"8","Proteus","1-4","Cephalosporins (3rd gen.)",13,1,0.0769230769230769,"Cephalosporins (3rd gen.)","1-4"
"9","Proteus","1-4","Quinolones",8,1,0.125,"Quinolones","1-4"
"10","Proteus","1-4","Trimethoprims",4,2,0.5,"Trimethoprims","1-4"
"11","Proteus","5-19","Aminoglycosides",2,0,0,"Aminoglycosides","5-19"
"12","Proteus","5-19","Carbapenems",2,0,0,"Carbapenems","5-19"
"13","Proteus","5-19","Cephalosporins (3rd gen.)",2,0,0,"Cephalosporins (3rd gen.)","5-19"
"14","Proteus","5-19","Quinolones",2,0,0,"Quinolones","5-19"
"15","Proteus","5-19","Trimethoprims",1,0,0,"Trimethoprims","5-19"
"16","Proteus","20-49","Aminoglycosides",1,0,0,"Aminoglycosides","20-49"
"17","Proteus","20-49","Carbapenems",1,0,0,"Carbapenems","20-49"
"18","Proteus","20-49","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","20-49"
"19","Proteus","50-64","Aminoglycosides",1,0,0,"Aminoglycosides","50-64"
"20","Proteus","50-64","Carbapenems",1,0,0,"Carbapenems","50-64"
"21","Proteus","50-64","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","50-64"
"22","Proteus","50-64","Quinolones",1,0,0,"Quinolones","50-64"
"23","Proteus","65+","Aminoglycosides",2,1,0.5,"Aminoglycosides","65+"
"24","Proteus","65+","Carbapenems",2,0,0,"Carbapenems","65+"
"25","Proteus","65+","Cephalosporins (3rd gen.)",2,0,0,"Cephalosporins (3rd gen.)","65+"
"26","Proteus","65+","Quinolones",1,1,1,"Quinolones","65+"
