"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Proteus","f","CAZ",8,0,0,"Ceftazidime","f"
"2","Proteus","f","CIP",4,0,0,"Ciprofloxacin","f"
"3","Proteus","f","CRO",8,0,0,"Ceftriaxone","f"
"4","Proteus","f","GEN",4,0,0,"Gentamicin","f"
"5","Proteus","f","IPM",2,0,0,"Imipenem","f"
"6","Proteus","f","MEM",6,0,0,"Meropenem","f"
"7","Proteus","f","SXT",2,0,0,"Trimethoprim/sulfamethoxazole","f"
"8","Proteus","m","AMP",2,2,1,"Ampicillin","m"
"9","Proteus","m","CAZ",32,4,0.125,"Ceftazidime","m"
"10","Proteus","m","CIP",22,4,0.181818181818182,"Ciprofloxacin","m"
"11","Proteus","m","CRO",32,4,0.125,"Ceftriaxone","m"
"12","Proteus","m","CTX",2,0,0,"Cefotaxime","m"
"13","Proteus","m","GEN",17,1,0.0588235294117647,"Gentamicin","m"
"14","Proteus","m","IPM",2,0,0,"Imipenem","m"
"15","Proteus","m","MEM",34,0,0,"Meropenem","m"
"16","Proteus","m","SXT",3,2,0.666666666666667,"Trimethoprim/sulfamethoxazole","m"
