"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Pseudomonas aeruginosa","f","CAZ",20,6,0.3,"Ceftazidime","f"
"2","Pseudomonas aeruginosa","f","CIP",12,4,0.333333333333333,"Ciprofloxacin","f"
"3","Pseudomonas aeruginosa","f","GEN",12,3,0.25,"Gentamicin","f"
"4","Pseudomonas aeruginosa","f","IPM",4,2,0.5,"Imipenem","f"
"5","Pseudomonas aeruginosa","f","MEM",18,6,0.333333333333333,"Meropenem","f"
"6","Pseudomonas aeruginosa","m","CAZ",34,16,0.470588235294118,"Ceftazidime","m"
"7","Pseudomonas aeruginosa","m","CIP",20,6,0.3,"Ciprofloxacin","m"
"8","Pseudomonas aeruginosa","m","GEN",22,10,0.454545454545455,"Gentamicin","m"
"9","Pseudomonas aeruginosa","m","IPM",20,12,0.6,"Imipenem","m"
"10","Pseudomonas aeruginosa","m","MEM",30,8,0.266666666666667,"Meropenem","m"
