"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Serratia","f","CAZ",2,0,0,"Ceftazidime","f"
"2","Serratia","f","CIP",2,0,0,"Ciprofloxacin","f"
"3","Serratia","f","CRO",2,0,0,"Ceftriaxone","f"
"4","Serratia","f","GEN",1,0,0,"Gentamicin","f"
"5","Serratia","f","MEM",2,0,0,"Meropenem","f"
"6","Serratia","m","CAZ",8,4,0.5,"Ceftazidime","m"
"7","Serratia","m","CIP",6,2,0.333333333333333,"Ciprofloxacin","m"
"8","Serratia","m","CRO",8,4,0.5,"Ceftriaxone","m"
"9","Serratia","m","GEN",2,0,0,"Gentamicin","m"
"10","Serratia","m","MEM",8,0,0,"Meropenem","m"
