"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","bl","Aminoglycosides",124,19,0.153225806451613,"Aminoglycosides","bl"
"2","Staphylococcus aureus","bl","Beta-lactams/penicillins",104,101,0.971153846153846,"Beta-lactams/penicillins","bl"
"3","Staphylococcus aureus","bl","Cephalosporins (2nd gen.)",148,67,0.452702702702703,"Cephalosporins (2nd gen.)","bl"
"4","Staphylococcus aureus","bl","Quinolones",59,17,0.288135593220339,"Quinolones","bl"
"5","Staphylococcus aureus","bl","Trimethoprims",83,59,0.710843373493976,"Trimethoprims","bl"
"6","Staphylococcus aureus","ur","Aminoglycosides",40,17,0.425,"Aminoglycosides","ur"
"7","Staphylococcus aureus","ur","Beta-lactams/penicillins",36,35,0.972222222222222,"Beta-lactams/penicillins","ur"
"8","Staphylococcus aureus","ur","Cephalosporins (2nd gen.)",50,35,0.7,"Cephalosporins (2nd gen.)","ur"
"9","Staphylococcus aureus","ur","Quinolones",30,12,0.4,"Quinolones","ur"
"10","Staphylococcus aureus","ur","Trimethoprims",28,18,0.642857142857143,"Trimethoprims","ur"
