"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","f","CIP",84,30,0.357142857142857,"Ciprofloxacin","f"
"2","Staphylococcus aureus","f","FOX",192,100,0.520833333333333,"Cefoxitin","f"
"3","Staphylococcus aureus","f","GEN",76,15,0.197368421052632,"Gentamicin","f"
"4","Staphylococcus aureus","f","PEN",134,130,0.970149253731343,"Benzylpenicillin","f"
"5","Staphylococcus aureus","f","SXT",56,43,0.767857142857143,"Trimethoprim/sulfamethoxazole","f"
"6","Staphylococcus aureus","m","CIP",94,28,0.297872340425532,"Ciprofloxacin","m"
"7","Staphylococcus aureus","m","FOX",208,106,0.509615384615385,"Cefoxitin","m"
"8","Staphylococcus aureus","m","GEN",89,21,0.235955056179775,"Gentamicin","m"
"9","Staphylococcus aureus","m","PEN",150,144,0.96,"Benzylpenicillin","m"
"10","Staphylococcus aureus","m","SXT",56,35,0.625,"Trimethoprim/sulfamethoxazole","m"
