"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","bl","CIP",118,34,0.288135593220339,"Ciprofloxacin","bl"
"2","Staphylococcus aureus","bl","FOX",298,134,0.449664429530201,"Cefoxitin","bl"
"3","Staphylococcus aureus","bl","GEN",125,19,0.152,"Gentamicin","bl"
"4","Staphylococcus aureus","bl","PEN",212,204,0.962264150943396,"Benzylpenicillin","bl"
"5","Staphylococcus aureus","bl","SXT",83,59,0.710843373493976,"Trimethoprim/sulfamethoxazole","bl"
"6","Staphylococcus aureus","ur","CIP",60,24,0.4,"Ciprofloxacin","ur"
"7","Staphylococcus aureus","ur","FOX",102,72,0.705882352941177,"Cefoxitin","ur"
"8","Staphylococcus aureus","ur","GEN",40,17,0.425,"Gentamicin","ur"
"9","Staphylococcus aureus","ur","PEN",72,70,0.972222222222222,"Benzylpenicillin","ur"
"10","Staphylococcus aureus","ur","SXT",29,19,0.655172413793103,"Trimethoprim/sulfamethoxazole","ur"
