"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Acinetobacter","<1","CIP",4,0,0,"Ciprofloxacin","<1"
"2","Acinetobacter","<1","GEN",1,0,0,"Gentamicin","<1"
"3","Acinetobacter","<1","MEM",2,0,0,"Meropenem","<1"
"4","Acinetobacter","1-4","CIP",16,4,0.25,"Ciprofloxacin","1-4"
"5","Acinetobacter","1-4","GEN",11,1,0.0909090909090909,"Gentamicin","1-4"
"6","Acinetobacter","1-4","MEM",20,0,0,"Meropenem","1-4"
"7","Acinetobacter","5-19","CIP",6,4,0.666666666666667,"Ciprofloxacin","5-19"
"8","Acinetobacter","5-19","GEN",7,1,0.142857142857143,"Gentamicin","5-19"
"9","Acinetobacter","5-19","MEM",6,0,0,"Meropenem","5-19"
"10","Acinetobacter","20-49","CIP",4,0,0,"Ciprofloxacin","20-49"
"11","Acinetobacter","20-49","GEN",5,0,0,"Gentamicin","20-49"
"12","Acinetobacter","20-49","MEM",8,0,0,"Meropenem","20-49"
"13","Acinetobacter","50-64","CIP",4,0,0,"Ciprofloxacin","50-64"
"14","Acinetobacter","50-64","GEN",5,4,0.8,"Gentamicin","50-64"
"15","Acinetobacter","50-64","MEM",6,0,0,"Meropenem","50-64"
"16","Acinetobacter","65+","GEN",4,1,0.25,"Gentamicin","65+"
"17","Acinetobacter","65+","MEM",4,0,0,"Meropenem","65+"
"18","Acinetobacter",NA,"CIP",2,0,0,"Ciprofloxacin",NA
"19","Acinetobacter",NA,"MEM",2,0,0,"Meropenem",NA
