"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Acinetobacter","<1","Aminoglycosides",1,0,0,"Aminoglycosides","<1"
"2","Acinetobacter","<1","Carbapenems",2,0,0,"Carbapenems","<1"
"3","Acinetobacter","<1","Quinolones",2,0,0,"Quinolones","<1"
"4","Acinetobacter","<1","Trimethoprims",1,1,1,"Trimethoprims","<1"
"5","Acinetobacter","1-4","Aminoglycosides",11,1,0.0909090909090909,"Aminoglycosides","1-4"
"6","Acinetobacter","1-4","Carbapenems",11,0,0,"Carbapenems","1-4"
"7","Acinetobacter","1-4","Quinolones",8,2,0.25,"Quinolones","1-4"
"8","Acinetobacter","1-4","Trimethoprims",4,0,0,"Trimethoprims","1-4"
"9","Acinetobacter","5-19","Aminoglycosides",7,1,0.142857142857143,"Aminoglycosides","5-19"
"10","Acinetobacter","5-19","Carbapenems",7,0,0,"Carbapenems","5-19"
"11","Acinetobacter","5-19","Quinolones",3,2,0.666666666666667,"Quinolones","5-19"
"12","Acinetobacter","5-19","Trimethoprims",4,1,0.25,"Trimethoprims","5-19"
"13","Acinetobacter","20-49","Aminoglycosides",5,0,0,"Aminoglycosides","20-49"
"14","Acinetobacter","20-49","Carbapenems",5,0,0,"Carbapenems","20-49"
"15","Acinetobacter","20-49","Quinolones",2,0,0,"Quinolones","20-49"
"16","Acinetobacter","20-49","Trimethoprims",1,0,0,"Trimethoprims","20-49"
"17","Acinetobacter","50-64","Aminoglycosides",5,4,0.8,"Aminoglycosides","50-64"
"18","Acinetobacter","50-64","Carbapenems",4,1,0.25,"Carbapenems","50-64"
"19","Acinetobacter","50-64","Quinolones",2,0,0,"Quinolones","50-64"
"20","Acinetobacter","50-64","Trimethoprims",3,0,0,"Trimethoprims","50-64"
"21","Acinetobacter","65+","Aminoglycosides",4,1,0.25,"Aminoglycosides","65+"
"22","Acinetobacter","65+","Carbapenems",4,0,0,"Carbapenems","65+"
"23","Acinetobacter",NA,"Carbapenems",1,0,0,"Carbapenems",NA
"24","Acinetobacter",NA,"Quinolones",1,0,0,"Quinolones",NA
