"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterococcus faecalis","<1","CIP",2,0,0,"Ciprofloxacin","<1"
"2","Enterococcus faecalis","<1","PEN",2,2,1,"Benzylpenicillin","<1"
"3","Enterococcus faecalis","1-4","AMP",2,0,0,"Ampicillin","1-4"
"4","Enterococcus faecalis","1-4","CIP",10,0,0,"Ciprofloxacin","1-4"
"5","Enterococcus faecalis","1-4","PEN",2,2,1,"Benzylpenicillin","1-4"
"6","Enterococcus faecalis","5-19","AMP",2,2,1,"Ampicillin","5-19"
"7","Enterococcus faecalis","5-19","CIP",2,2,1,"Ciprofloxacin","5-19"
"8","Enterococcus faecalis","5-19","PEN",2,2,1,"Benzylpenicillin","5-19"
"9","Enterococcus faecalis","20-49","AMP",4,0,0,"Ampicillin","20-49"
"10","Enterococcus faecalis","20-49","CIP",6,2,0.333333333333333,"Ciprofloxacin","20-49"
"11","Enterococcus faecalis","20-49","PEN",4,0,0,"Benzylpenicillin","20-49"
"12","Enterococcus faecalis","50-64","AMP",4,2,0.5,"Ampicillin","50-64"
"13","Enterococcus faecalis","50-64","CIP",2,0,0,"Ciprofloxacin","50-64"
"14","Enterococcus faecalis","50-64","PEN",2,2,1,"Benzylpenicillin","50-64"
"15","Enterococcus faecalis","65+","AMP",4,0,0,"Ampicillin","65+"
"16","Enterococcus faecalis","65+","PEN",2,2,1,"Benzylpenicillin","65+"
