"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","<1","AMP",8,6,0.75,"Ampicillin","<1"
"2","Escherichia coli","<1","CAZ",18,8,0.444444444444444,"Ceftazidime","<1"
"3","Escherichia coli","<1","CIP",8,2,0.25,"Ciprofloxacin","<1"
"4","Escherichia coli","<1","CRO",24,8,0.333333333333333,"Ceftriaxone","<1"
"5","Escherichia coli","<1","CTX",2,0,0,"Cefotaxime","<1"
"6","Escherichia coli","<1","GEN",13,4,0.307692307692308,"Gentamicin","<1"
"7","Escherichia coli","<1","IPM",4,0,0,"Imipenem","<1"
"8","Escherichia coli","<1","MEM",20,0,0,"Meropenem","<1"
"9","Escherichia coli","<1","SXT",7,6,0.857142857142857,"Trimethoprim/sulfamethoxazole","<1"
"10","Escherichia coli","1-4","AMP",10,8,0.8,"Ampicillin","1-4"
"11","Escherichia coli","1-4","CAZ",82,24,0.292682926829268,"Ceftazidime","1-4"
"12","Escherichia coli","1-4","CIP",40,16,0.4,"Ciprofloxacin","1-4"
"13","Escherichia coli","1-4","CRO",106,36,0.339622641509434,"Ceftriaxone","1-4"
"14","Escherichia coli","1-4","CTX",26,10,0.384615384615385,"Cefotaxime","1-4"
"15","Escherichia coli","1-4","GEN",50,12,0.24,"Gentamicin","1-4"
"16","Escherichia coli","1-4","IPM",20,0,0,"Imipenem","1-4"
"17","Escherichia coli","1-4","MEM",72,0,0,"Meropenem","1-4"
"18","Escherichia coli","1-4","SXT",16,14,0.875,"Trimethoprim/sulfamethoxazole","1-4"
"19","Escherichia coli","5-19","AMP",10,8,0.8,"Ampicillin","5-19"
"20","Escherichia coli","5-19","CAZ",48,12,0.25,"Ceftazidime","5-19"
"21","Escherichia coli","5-19","CIP",20,2,0.1,"Ciprofloxacin","5-19"
"22","Escherichia coli","5-19","CRO",72,30,0.416666666666667,"Ceftriaxone","5-19"
"23","Escherichia coli","5-19","CTX",32,12,0.375,"Cefotaxime","5-19"
"24","Escherichia coli","5-19","GEN",33,6,0.181818181818182,"Gentamicin","5-19"
"25","Escherichia coli","5-19","IPM",32,6,0.1875,"Imipenem","5-19"
"26","Escherichia coli","5-19","MEM",32,0,0,"Meropenem","5-19"
"27","Escherichia coli","5-19","SXT",16,11,0.6875,"Trimethoprim/sulfamethoxazole","5-19"
"28","Escherichia coli","20-49","AMP",2,2,1,"Ampicillin","20-49"
"29","Escherichia coli","20-49","CAZ",66,28,0.424242424242424,"Ceftazidime","20-49"
"30","Escherichia coli","20-49","CIP",30,16,0.533333333333333,"Ciprofloxacin","20-49"
"31","Escherichia coli","20-49","CRO",80,36,0.45,"Ceftriaxone","20-49"
"32","Escherichia coli","20-49","CTX",14,8,0.571428571428571,"Cefotaxime","20-49"
"33","Escherichia coli","20-49","GEN",36,13,0.361111111111111,"Gentamicin","20-49"
"34","Escherichia coli","20-49","IPM",32,0,0,"Imipenem","20-49"
"35","Escherichia coli","20-49","MEM",48,0,0,"Meropenem","20-49"
"36","Escherichia coli","20-49","SXT",11,8,0.727272727272727,"Trimethoprim/sulfamethoxazole","20-49"
"37","Escherichia coli","50-64","AMP",6,2,0.333333333333333,"Ampicillin","50-64"
"38","Escherichia coli","50-64","CAZ",40,16,0.4,"Ceftazidime","50-64"
"39","Escherichia coli","50-64","CIP",18,10,0.555555555555556,"Ciprofloxacin","50-64"
"40","Escherichia coli","50-64","CRO",46,16,0.347826086956522,"Ceftriaxone","50-64"
"41","Escherichia coli","50-64","CTX",12,2,0.166666666666667,"Cefotaxime","50-64"
"42","Escherichia coli","50-64","GEN",22,9,0.409090909090909,"Gentamicin","50-64"
"43","Escherichia coli","50-64","IPM",20,0,0,"Imipenem","50-64"
"44","Escherichia coli","50-64","MEM",20,0,0,"Meropenem","50-64"
"45","Escherichia coli","50-64","SXT",6,4,0.666666666666667,"Trimethoprim/sulfamethoxazole","50-64"
"46","Escherichia coli","65+","AMP",4,4,1,"Ampicillin","65+"
"47","Escherichia coli","65+","CAZ",28,14,0.5,"Ceftazidime","65+"
"48","Escherichia coli","65+","CIP",18,10,0.555555555555556,"Ciprofloxacin","65+"
"49","Escherichia coli","65+","CRO",36,18,0.5,"Ceftriaxone","65+"
"50","Escherichia coli","65+","CTX",12,4,0.333333333333333,"Cefotaxime","65+"
"51","Escherichia coli","65+","GEN",18,7,0.388888888888889,"Gentamicin","65+"
"52","Escherichia coli","65+","IPM",18,0,0,"Imipenem","65+"
"53","Escherichia coli","65+","MEM",18,0,0,"Meropenem","65+"
"54","Escherichia coli","65+","SXT",7,6,0.857142857142857,"Trimethoprim/sulfamethoxazole","65+"
"55","Escherichia coli",NA,"CAZ",6,4,0.666666666666667,"Ceftazidime",NA
"56","Escherichia coli",NA,"CRO",8,6,0.75,"Ceftriaxone",NA
"57","Escherichia coli",NA,"GEN",4,3,0.75,"Gentamicin",NA
"58","Escherichia coli",NA,"IPM",6,2,0.333333333333333,"Imipenem",NA
"59","Escherichia coli",NA,"MEM",2,0,0,"Meropenem",NA
"60","Escherichia coli",NA,"SXT",2,2,1,"Trimethoprim/sulfamethoxazole",NA
