"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","<1","Aminoglycosides",13,4,0.307692307692308,"Aminoglycosides","<1"
"2","Escherichia coli","<1","Beta-lactams/penicillins",4,3,0.75,"Beta-lactams/penicillins","<1"
"3","Escherichia coli","<1","Carbapenems",12,0,0,"Carbapenems","<1"
"4","Escherichia coli","<1","Cephalosporins (3rd gen.)",12,5,0.416666666666667,"Cephalosporins (3rd gen.)","<1"
"5","Escherichia coli","<1","Quinolones",4,1,0.25,"Quinolones","<1"
"6","Escherichia coli","<1","Trimethoprims",7,6,0.857142857142857,"Trimethoprims","<1"
"7","Escherichia coli","1-4","Aminoglycosides",49,11,0.224489795918367,"Aminoglycosides","1-4"
"8","Escherichia coli","1-4","Beta-lactams/penicillins",5,4,0.8,"Beta-lactams/penicillins","1-4"
"9","Escherichia coli","1-4","Carbapenems",45,0,0,"Carbapenems","1-4"
"10","Escherichia coli","1-4","Cephalosporins (3rd gen.)",52,19,0.365384615384615,"Cephalosporins (3rd gen.)","1-4"
"11","Escherichia coli","1-4","Quinolones",19,8,0.421052631578947,"Quinolones","1-4"
"12","Escherichia coli","1-4","Trimethoprims",16,14,0.875,"Trimethoprims","1-4"
"13","Escherichia coli","5-19","Aminoglycosides",32,6,0.1875,"Aminoglycosides","5-19"
"14","Escherichia coli","5-19","Beta-lactams/penicillins",5,4,0.8,"Beta-lactams/penicillins","5-19"
"15","Escherichia coli","5-19","Carbapenems",31,3,0.0967741935483871,"Carbapenems","5-19"
"16","Escherichia coli","5-19","Cephalosporins (3rd gen.)",36,16,0.444444444444444,"Cephalosporins (3rd gen.)","5-19"
"17","Escherichia coli","5-19","Quinolones",10,1,0.1,"Quinolones","5-19"
"18","Escherichia coli","5-19","Trimethoprims",16,11,0.6875,"Trimethoprims","5-19"
"19","Escherichia coli","20-49","Aminoglycosides",36,13,0.361111111111111,"Aminoglycosides","20-49"
"20","Escherichia coli","20-49","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","20-49"
"21","Escherichia coli","20-49","Carbapenems",40,0,0,"Carbapenems","20-49"
"22","Escherichia coli","20-49","Cephalosporins (3rd gen.)",41,19,0.463414634146341,"Cephalosporins (3rd gen.)","20-49"
"23","Escherichia coli","20-49","Quinolones",15,8,0.533333333333333,"Quinolones","20-49"
"24","Escherichia coli","20-49","Trimethoprims",11,8,0.727272727272727,"Trimethoprims","20-49"
"25","Escherichia coli","50-64","Aminoglycosides",19,9,0.473684210526316,"Aminoglycosides","50-64"
"26","Escherichia coli","50-64","Beta-lactams/penicillins",3,1,0.333333333333333,"Beta-lactams/penicillins","50-64"
"27","Escherichia coli","50-64","Carbapenems",18,0,0,"Carbapenems","50-64"
"28","Escherichia coli","50-64","Cephalosporins (3rd gen.)",21,11,0.523809523809524,"Cephalosporins (3rd gen.)","50-64"
"29","Escherichia coli","50-64","Quinolones",8,5,0.625,"Quinolones","50-64"
"30","Escherichia coli","50-64","Trimethoprims",6,4,0.666666666666667,"Trimethoprims","50-64"
"31","Escherichia coli","65+","Aminoglycosides",18,7,0.388888888888889,"Aminoglycosides","65+"
"32","Escherichia coli","65+","Beta-lactams/penicillins",2,2,1,"Beta-lactams/penicillins","65+"
"33","Escherichia coli","65+","Carbapenems",18,0,0,"Carbapenems","65+"
"34","Escherichia coli","65+","Cephalosporins (3rd gen.)",19,10,0.526315789473684,"Cephalosporins (3rd gen.)","65+"
"35","Escherichia coli","65+","Quinolones",9,5,0.555555555555556,"Quinolones","65+"
"36","Escherichia coli","65+","Trimethoprims",7,6,0.857142857142857,"Trimethoprims","65+"
"37","Escherichia coli",NA,"Aminoglycosides",4,3,0.75,"Aminoglycosides",NA
"38","Escherichia coli",NA,"Carbapenems",4,1,0.25,"Carbapenems",NA
"39","Escherichia coli",NA,"Cephalosporins (3rd gen.)",4,3,0.75,"Cephalosporins (3rd gen.)",NA
"40","Escherichia coli",NA,"Trimethoprims",2,2,1,"Trimethoprims",NA
