"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","f","AMP",26,20,0.769230769230769,"Ampicillin","f"
"2","Escherichia coli","f","CAZ",190,74,0.389473684210526,"Ceftazidime","f"
"3","Escherichia coli","f","CIP",74,26,0.351351351351351,"Ciprofloxacin","f"
"4","Escherichia coli","f","CRO",234,98,0.418803418803419,"Ceftriaxone","f"
"5","Escherichia coli","f","CTX",60,26,0.433333333333333,"Cefotaxime","f"
"6","Escherichia coli","f","GEN",110,35,0.318181818181818,"Gentamicin","f"
"7","Escherichia coli","f","IPM",84,4,0.0476190476190476,"Imipenem","f"
"8","Escherichia coli","f","MEM",136,0,0,"Meropenem","f"
"9","Escherichia coli","f","SXT",37,28,0.756756756756757,"Trimethoprim/sulfamethoxazole","f"
"10","Escherichia coli","m","AMP",14,10,0.714285714285714,"Ampicillin","m"
"11","Escherichia coli","m","CAZ",98,32,0.326530612244898,"Ceftazidime","m"
"12","Escherichia coli","m","CIP",60,30,0.5,"Ciprofloxacin","m"
"13","Escherichia coli","m","CRO",138,52,0.376811594202899,"Ceftriaxone","m"
"14","Escherichia coli","m","CTX",38,10,0.263157894736842,"Cefotaxime","m"
"15","Escherichia coli","m","GEN",66,19,0.287878787878788,"Gentamicin","m"
"16","Escherichia coli","m","IPM",48,4,0.0833333333333333,"Imipenem","m"
"17","Escherichia coli","m","MEM",76,0,0,"Meropenem","m"
"18","Escherichia coli","m","SXT",28,23,0.821428571428571,"Trimethoprim/sulfamethoxazole","m"
