"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","f","Aminoglycosides",107,35,0.327102803738318,"Aminoglycosides","f"
"2","Escherichia coli","f","Beta-lactams/penicillins",13,10,0.769230769230769,"Beta-lactams/penicillins","f"
"3","Escherichia coli","f","Carbapenems",108,2,0.0185185185185185,"Carbapenems","f"
"4","Escherichia coli","f","Cephalosporins (3rd gen.)",118,57,0.483050847457627,"Cephalosporins (3rd gen.)","f"
"5","Escherichia coli","f","Quinolones",36,13,0.361111111111111,"Quinolones","f"
"6","Escherichia coli","f","Trimethoprims",37,28,0.756756756756757,"Trimethoprims","f"
"7","Escherichia coli","m","Aminoglycosides",64,18,0.28125,"Aminoglycosides","m"
"8","Escherichia coli","m","Beta-lactams/penicillins",7,5,0.714285714285714,"Beta-lactams/penicillins","m"
"9","Escherichia coli","m","Carbapenems",60,2,0.0333333333333333,"Carbapenems","m"
"10","Escherichia coli","m","Cephalosporins (3rd gen.)",67,26,0.388059701492537,"Cephalosporins (3rd gen.)","m"
"11","Escherichia coli","m","Quinolones",29,15,0.517241379310345,"Quinolones","m"
"12","Escherichia coli","m","Trimethoprims",28,23,0.821428571428571,"Trimethoprims","m"
