"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","bl","Aminoglycosides",10,3,0.3,"Aminoglycosides","bl"
"2","Escherichia coli","bl","Beta-lactams/penicillins",2,1,0.5,"Beta-lactams/penicillins","bl"
"3","Escherichia coli","bl","Carbapenems",9,1,0.111111111111111,"Carbapenems","bl"
"4","Escherichia coli","bl","Cephalosporins (3rd gen.)",10,8,0.8,"Cephalosporins (3rd gen.)","bl"
"5","Escherichia coli","bl","Quinolones",3,1,0.333333333333333,"Quinolones","bl"
"6","Escherichia coli","bl","Trimethoprims",6,5,0.833333333333333,"Trimethoprims","bl"
"7","Escherichia coli","ur","Aminoglycosides",161,50,0.31055900621118,"Aminoglycosides","ur"
"8","Escherichia coli","ur","Beta-lactams/penicillins",18,14,0.777777777777778,"Beta-lactams/penicillins","ur"
"9","Escherichia coli","ur","Carbapenems",159,3,0.0188679245283019,"Carbapenems","ur"
"10","Escherichia coli","ur","Cephalosporins (3rd gen.)",175,75,0.428571428571429,"Cephalosporins (3rd gen.)","ur"
"11","Escherichia coli","ur","Quinolones",62,27,0.435483870967742,"Quinolones","ur"
"12","Escherichia coli","ur","Trimethoprims",59,46,0.779661016949153,"Trimethoprims","ur"
