"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","<1","Aminoglycosides",9,6,0.666666666666667,"Aminoglycosides","<1"
"2","Klebsiella pneumoniae","<1","Carbapenems",7,0,0,"Carbapenems","<1"
"3","Klebsiella pneumoniae","<1","Cephalosporins (3rd gen.)",10,8,0.8,"Cephalosporins (3rd gen.)","<1"
"4","Klebsiella pneumoniae","<1","Quinolones",1,0,0,"Quinolones","<1"
"5","Klebsiella pneumoniae","<1","Trimethoprims",5,5,1,"Trimethoprims","<1"
"6","Klebsiella pneumoniae","1-4","Aminoglycosides",26,13,0.5,"Aminoglycosides","1-4"
"7","Klebsiella pneumoniae","1-4","Carbapenems",27,0,0,"Carbapenems","1-4"
"8","Klebsiella pneumoniae","1-4","Cephalosporins (3rd gen.)",27,14,0.518518518518518,"Cephalosporins (3rd gen.)","1-4"
"9","Klebsiella pneumoniae","1-4","Quinolones",8,4,0.5,"Quinolones","1-4"
"10","Klebsiella pneumoniae","1-4","Trimethoprims",11,9,0.818181818181818,"Trimethoprims","1-4"
"11","Klebsiella pneumoniae","5-19","Aminoglycosides",5,2,0.4,"Aminoglycosides","5-19"
"12","Klebsiella pneumoniae","5-19","Carbapenems",4,0,0,"Carbapenems","5-19"
"13","Klebsiella pneumoniae","5-19","Cephalosporins (3rd gen.)",5,5,1,"Cephalosporins (3rd gen.)","5-19"
"14","Klebsiella pneumoniae","5-19","Quinolones",2,2,1,"Quinolones","5-19"
"15","Klebsiella pneumoniae","5-19","Trimethoprims",3,2,0.666666666666667,"Trimethoprims","5-19"
"16","Klebsiella pneumoniae","20-49","Aminoglycosides",12,5,0.416666666666667,"Aminoglycosides","20-49"
"17","Klebsiella pneumoniae","20-49","Carbapenems",13,0,0,"Carbapenems","20-49"
"18","Klebsiella pneumoniae","20-49","Cephalosporins (3rd gen.)",14,8,0.571428571428571,"Cephalosporins (3rd gen.)","20-49"
"19","Klebsiella pneumoniae","20-49","Quinolones",6,2,0.333333333333333,"Quinolones","20-49"
"20","Klebsiella pneumoniae","20-49","Trimethoprims",2,1,0.5,"Trimethoprims","20-49"
"21","Klebsiella pneumoniae","50-64","Aminoglycosides",1,1,1,"Aminoglycosides","50-64"
"22","Klebsiella pneumoniae","50-64","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","50-64"
"23","Klebsiella pneumoniae","65+","Aminoglycosides",12,9,0.75,"Aminoglycosides","65+"
"24","Klebsiella pneumoniae","65+","Carbapenems",12,1,0.0833333333333333,"Carbapenems","65+"
"25","Klebsiella pneumoniae","65+","Cephalosporins (3rd gen.)",13,9,0.692307692307692,"Cephalosporins (3rd gen.)","65+"
"26","Klebsiella pneumoniae","65+","Quinolones",3,2,0.666666666666667,"Quinolones","65+"
"27","Klebsiella pneumoniae","65+","Trimethoprims",4,3,0.75,"Trimethoprims","65+"
"28","Klebsiella pneumoniae",NA,"Aminoglycosides",1,1,1,"Aminoglycosides",NA
"29","Klebsiella pneumoniae",NA,"Carbapenems",1,0,0,"Carbapenems",NA
"30","Klebsiella pneumoniae",NA,"Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)",NA
