"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","f","CAZ",58,34,0.586206896551724,"Ceftazidime","f"
"2","Klebsiella pneumoniae","f","CIP",18,6,0.333333333333333,"Ciprofloxacin","f"
"3","Klebsiella pneumoniae","f","CRO",72,46,0.638888888888889,"Ceftriaxone","f"
"4","Klebsiella pneumoniae","f","CTX",18,18,1,"Cefotaxime","f"
"5","Klebsiella pneumoniae","f","GEN",34,17,0.5,"Gentamicin","f"
"6","Klebsiella pneumoniae","f","IPM",26,0,0,"Imipenem","f"
"7","Klebsiella pneumoniae","f","MEM",44,0,0,"Meropenem","f"
"8","Klebsiella pneumoniae","f","SXT",13,12,0.923076923076923,"Trimethoprim/sulfamethoxazole","f"
"9","Klebsiella pneumoniae","m","CAZ",52,28,0.538461538461538,"Ceftazidime","m"
"10","Klebsiella pneumoniae","m","CIP",22,14,0.636363636363636,"Ciprofloxacin","m"
"11","Klebsiella pneumoniae","m","CRO",68,44,0.647058823529412,"Ceftriaxone","m"
"12","Klebsiella pneumoniae","m","CTX",16,10,0.625,"Cefotaxime","m"
"13","Klebsiella pneumoniae","m","GEN",34,20,0.588235294117647,"Gentamicin","m"
"14","Klebsiella pneumoniae","m","IPM",22,0,0,"Imipenem","m"
"15","Klebsiella pneumoniae","m","MEM",42,2,0.0476190476190476,"Meropenem","m"
"16","Klebsiella pneumoniae","m","SXT",12,8,0.666666666666667,"Trimethoprim/sulfamethoxazole","m"
