"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","f","Aminoglycosides",33,17,0.515151515151515,"Aminoglycosides","f"
"2","Klebsiella pneumoniae","f","Carbapenems",33,0,0,"Carbapenems","f"
"3","Klebsiella pneumoniae","f","Cephalosporins (3rd gen.)",36,23,0.638888888888889,"Cephalosporins (3rd gen.)","f"
"4","Klebsiella pneumoniae","f","Quinolones",9,3,0.333333333333333,"Quinolones","f"
"5","Klebsiella pneumoniae","f","Trimethoprims",13,12,0.923076923076923,"Trimethoprims","f"
"6","Klebsiella pneumoniae","m","Aminoglycosides",33,20,0.606060606060606,"Aminoglycosides","m"
"7","Klebsiella pneumoniae","m","Carbapenems",31,1,0.032258064516129,"Carbapenems","m"
"8","Klebsiella pneumoniae","m","Cephalosporins (3rd gen.)",35,23,0.657142857142857,"Cephalosporins (3rd gen.)","m"
"9","Klebsiella pneumoniae","m","Quinolones",11,7,0.636363636363636,"Quinolones","m"
"10","Klebsiella pneumoniae","m","Trimethoprims",12,8,0.666666666666667,"Trimethoprims","m"
