"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","bl","Aminoglycosides",13,12,0.923076923076923,"Aminoglycosides","bl"
"2","Klebsiella pneumoniae","bl","Carbapenems",12,0,0,"Carbapenems","bl"
"3","Klebsiella pneumoniae","bl","Cephalosporins (3rd gen.)",15,14,0.933333333333333,"Cephalosporins (3rd gen.)","bl"
"4","Klebsiella pneumoniae","bl","Quinolones",2,2,1,"Quinolones","bl"
"5","Klebsiella pneumoniae","bl","Trimethoprims",5,5,1,"Trimethoprims","bl"
"6","Klebsiella pneumoniae","ur","Aminoglycosides",53,25,0.471698113207547,"Aminoglycosides","ur"
"7","Klebsiella pneumoniae","ur","Carbapenems",52,1,0.0192307692307692,"Carbapenems","ur"
"8","Klebsiella pneumoniae","ur","Cephalosporins (3rd gen.)",56,32,0.571428571428571,"Cephalosporins (3rd gen.)","ur"
"9","Klebsiella pneumoniae","ur","Quinolones",18,8,0.444444444444444,"Quinolones","ur"
"10","Klebsiella pneumoniae","ur","Trimethoprims",20,15,0.75,"Trimethoprims","ur"
