"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Proteus mirabilis","<1","CAZ",2,0,0,"Ceftazidime","<1"
"2","Proteus mirabilis","<1","CIP",2,0,0,"Ciprofloxacin","<1"
"3","Proteus mirabilis","<1","CRO",2,0,0,"Ceftriaxone","<1"
"4","Proteus mirabilis","<1","GEN",1,0,0,"Gentamicin","<1"
"5","Proteus mirabilis","<1","MEM",2,0,0,"Meropenem","<1"
"6","Proteus mirabilis","1-4","AMP",2,2,1,"Ampicillin","1-4"
"7","Proteus mirabilis","1-4","CAZ",16,0,0,"Ceftazidime","1-4"
"8","Proteus mirabilis","1-4","CIP",10,0,0,"Ciprofloxacin","1-4"
"9","Proteus mirabilis","1-4","CRO",18,0,0,"Ceftriaxone","1-4"
"10","Proteus mirabilis","1-4","CTX",2,0,0,"Cefotaxime","1-4"
"11","Proteus mirabilis","1-4","GEN",10,0,0,"Gentamicin","1-4"
"12","Proteus mirabilis","1-4","IPM",2,0,0,"Imipenem","1-4"
"13","Proteus mirabilis","1-4","MEM",18,0,0,"Meropenem","1-4"
"14","Proteus mirabilis","1-4","SXT",3,2,0.666666666666667,"Trimethoprim/sulfamethoxazole","1-4"
"15","Proteus mirabilis","5-19","CAZ",2,0,0,"Ceftazidime","5-19"
"16","Proteus mirabilis","5-19","CIP",2,0,0,"Ciprofloxacin","5-19"
"17","Proteus mirabilis","5-19","CRO",2,0,0,"Ceftriaxone","5-19"
"18","Proteus mirabilis","5-19","GEN",1,0,0,"Gentamicin","5-19"
"19","Proteus mirabilis","5-19","MEM",2,0,0,"Meropenem","5-19"
"20","Proteus mirabilis","50-64","CAZ",2,2,1,"Ceftazidime","50-64"
"21","Proteus mirabilis","50-64","CIP",2,0,0,"Ciprofloxacin","50-64"
"22","Proteus mirabilis","50-64","CRO",2,0,0,"Ceftriaxone","50-64"
"23","Proteus mirabilis","50-64","GEN",1,0,0,"Gentamicin","50-64"
"24","Proteus mirabilis","50-64","MEM",2,0,0,"Meropenem","50-64"
"25","Proteus mirabilis","65+","CAZ",4,0,0,"Ceftazidime","65+"
"26","Proteus mirabilis","65+","CIP",2,2,1,"Ciprofloxacin","65+"
"27","Proteus mirabilis","65+","CRO",2,0,0,"Ceftriaxone","65+"
"28","Proteus mirabilis","65+","GEN",2,1,0.5,"Gentamicin","65+"
"29","Proteus mirabilis","65+","MEM",4,0,0,"Meropenem","65+"
