"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Proteus mirabilis","<1","Aminoglycosides",1,0,0,"Aminoglycosides","<1"
"2","Proteus mirabilis","<1","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","<1"
"3","Proteus mirabilis","<1","Quinolones",1,0,0,"Quinolones","<1"
"4","Proteus mirabilis","1-4","Aminoglycosides",9,0,0,"Aminoglycosides","1-4"
"5","Proteus mirabilis","1-4","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","1-4"
"6","Proteus mirabilis","1-4","Cephalosporins (3rd gen.)",8,0,0,"Cephalosporins (3rd gen.)","1-4"
"7","Proteus mirabilis","1-4","Quinolones",5,0,0,"Quinolones","1-4"
"8","Proteus mirabilis","1-4","Trimethoprims",3,2,0.666666666666667,"Trimethoprims","1-4"
"9","Proteus mirabilis","5-19","Aminoglycosides",1,0,0,"Aminoglycosides","5-19"
"10","Proteus mirabilis","5-19","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","5-19"
"11","Proteus mirabilis","5-19","Quinolones",1,0,0,"Quinolones","5-19"
"12","Proteus mirabilis","50-64","Aminoglycosides",1,0,0,"Aminoglycosides","50-64"
"13","Proteus mirabilis","50-64","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","50-64"
"14","Proteus mirabilis","50-64","Quinolones",1,0,0,"Quinolones","50-64"
"15","Proteus mirabilis","65+","Aminoglycosides",2,1,0.5,"Aminoglycosides","65+"
"16","Proteus mirabilis","65+","Cephalosporins (3rd gen.)",2,0,0,"Cephalosporins (3rd gen.)","65+"
"17","Proteus mirabilis","65+","Quinolones",1,1,1,"Quinolones","65+"
