"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Proteus mirabilis","f","CAZ",6,0,0,"Ceftazidime","f"
"2","Proteus mirabilis","f","CIP",2,0,0,"Ciprofloxacin","f"
"3","Proteus mirabilis","f","CRO",6,0,0,"Ceftriaxone","f"
"4","Proteus mirabilis","f","GEN",3,0,0,"Gentamicin","f"
"5","Proteus mirabilis","f","MEM",6,0,0,"Meropenem","f"
"6","Proteus mirabilis","f","SXT",1,0,0,"Trimethoprim/sulfamethoxazole","f"
"7","Proteus mirabilis","m","AMP",2,2,1,"Ampicillin","m"
"8","Proteus mirabilis","m","CAZ",20,2,0.1,"Ceftazidime","m"
"9","Proteus mirabilis","m","CIP",16,2,0.125,"Ciprofloxacin","m"
"10","Proteus mirabilis","m","CRO",20,0,0,"Ceftriaxone","m"
"11","Proteus mirabilis","m","CTX",2,0,0,"Cefotaxime","m"
"12","Proteus mirabilis","m","GEN",12,1,0.0833333333333333,"Gentamicin","m"
"13","Proteus mirabilis","m","IPM",2,0,0,"Imipenem","m"
"14","Proteus mirabilis","m","MEM",22,0,0,"Meropenem","m"
"15","Proteus mirabilis","m","SXT",2,2,1,"Trimethoprim/sulfamethoxazole","m"
