"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Proteus mirabilis","bl","CAZ",2,0,0,"Ceftazidime","bl"
"2","Proteus mirabilis","bl","CIP",2,0,0,"Ciprofloxacin","bl"
"3","Proteus mirabilis","bl","CRO",2,0,0,"Ceftriaxone","bl"
"4","Proteus mirabilis","bl","GEN",1,0,0,"Gentamicin","bl"
"5","Proteus mirabilis","bl","MEM",2,0,0,"Meropenem","bl"
"6","Proteus mirabilis","ur","AMP",2,2,1,"Ampicillin","ur"
"7","Proteus mirabilis","ur","CAZ",24,2,0.0833333333333333,"Ceftazidime","ur"
"8","Proteus mirabilis","ur","CIP",16,2,0.125,"Ciprofloxacin","ur"
"9","Proteus mirabilis","ur","CRO",24,0,0,"Ceftriaxone","ur"
"10","Proteus mirabilis","ur","CTX",2,0,0,"Cefotaxime","ur"
"11","Proteus mirabilis","ur","GEN",14,1,0.0714285714285714,"Gentamicin","ur"
"12","Proteus mirabilis","ur","IPM",2,0,0,"Imipenem","ur"
"13","Proteus mirabilis","ur","MEM",26,0,0,"Meropenem","ur"
"14","Proteus mirabilis","ur","SXT",3,2,0.666666666666667,"Trimethoprim/sulfamethoxazole","ur"
