"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","<1","FOX",70,28,0.4,"Cefoxitin","<1"
"2","Staphylococcus aureus","<1","GEN",30,6,0.2,"Gentamicin","<1"
"3","Staphylococcus aureus","1-4","FOX",124,64,0.516129032258065,"Cefoxitin","1-4"
"4","Staphylococcus aureus","1-4","GEN",50,10,0.2,"Gentamicin","1-4"
"5","Staphylococcus aureus","5-19","FOX",46,22,0.478260869565217,"Cefoxitin","5-19"
"6","Staphylococcus aureus","5-19","GEN",19,5,0.263157894736842,"Gentamicin","5-19"
"7","Staphylococcus aureus","20-49","FOX",66,46,0.696969696969697,"Cefoxitin","20-49"
"8","Staphylococcus aureus","20-49","GEN",28,7,0.25,"Gentamicin","20-49"
"9","Staphylococcus aureus","50-64","FOX",58,20,0.344827586206897,"Cefoxitin","50-64"
"10","Staphylococcus aureus","50-64","GEN",24,4,0.166666666666667,"Gentamicin","50-64"
"11","Staphylococcus aureus","65+","FOX",32,24,0.75,"Cefoxitin","65+"
"12","Staphylococcus aureus","65+","GEN",12,4,0.333333333333333,"Gentamicin","65+"
"13","Staphylococcus aureus",NA,"FOX",2,2,1,"Cefoxitin",NA
"14","Staphylococcus aureus",NA,"GEN",1,0,0,"Gentamicin",NA
