"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","<1","Aminoglycosides",30,6,0.2,"Aminoglycosides","<1"
"2","Staphylococcus aureus","<1","Cephalosporins (2nd gen.)",35,14,0.4,"Cephalosporins (2nd gen.)","<1"
"3","Staphylococcus aureus","<1","Trimethoprims",23,18,0.782608695652174,"Trimethoprims","<1"
"4","Staphylococcus aureus","1-4","Aminoglycosides",50,10,0.2,"Aminoglycosides","1-4"
"5","Staphylococcus aureus","1-4","Cephalosporins (2nd gen.)",61,31,0.508196721311475,"Cephalosporins (2nd gen.)","1-4"
"6","Staphylococcus aureus","1-4","Trimethoprims",34,26,0.764705882352941,"Trimethoprims","1-4"
"7","Staphylococcus aureus","5-19","Aminoglycosides",18,5,0.277777777777778,"Aminoglycosides","5-19"
"8","Staphylococcus aureus","5-19","Cephalosporins (2nd gen.)",22,11,0.5,"Cephalosporins (2nd gen.)","5-19"
"9","Staphylococcus aureus","5-19","Trimethoprims",10,4,0.4,"Trimethoprims","5-19"
"10","Staphylococcus aureus","20-49","Aminoglycosides",28,7,0.25,"Aminoglycosides","20-49"
"11","Staphylococcus aureus","20-49","Cephalosporins (2nd gen.)",33,23,0.696969696969697,"Cephalosporins (2nd gen.)","20-49"
"12","Staphylococcus aureus","20-49","Trimethoprims",20,13,0.65,"Trimethoprims","20-49"
"13","Staphylococcus aureus","50-64","Aminoglycosides",24,4,0.166666666666667,"Aminoglycosides","50-64"
"14","Staphylococcus aureus","50-64","Cephalosporins (2nd gen.)",29,10,0.344827586206897,"Cephalosporins (2nd gen.)","50-64"
"15","Staphylococcus aureus","50-64","Trimethoprims",15,10,0.666666666666667,"Trimethoprims","50-64"
"16","Staphylococcus aureus","65+","Aminoglycosides",12,4,0.333333333333333,"Aminoglycosides","65+"
"17","Staphylococcus aureus","65+","Cephalosporins (2nd gen.)",16,12,0.75,"Cephalosporins (2nd gen.)","65+"
"18","Staphylococcus aureus","65+","Trimethoprims",8,5,0.625,"Trimethoprims","65+"
"19","Staphylococcus aureus",NA,"Aminoglycosides",1,0,0,"Aminoglycosides",NA
"20","Staphylococcus aureus",NA,"Cephalosporins (2nd gen.)",1,1,1,"Cephalosporins (2nd gen.)",NA
